id,nombre,tipo,zona_origen,ubicacion_aprox,web,google_maps,prioridad,estado,observacion_entrada_1,observacion_entrada_2,canal_recomendado,proximo_paso,notas
P001,Hotel Rural Senderos de Abona,hotel rural,Arona/Sur Tenerife,Granadilla / Abona aprox.,https://www.senderosdeabona.es/,"https://www.google.com/maps/search/?api=1&query=28.1259822,-16.5770736",alta,observaciones_preparadas,"La web transmite que es oficial, pero el camino visible parece llevar más a habitaciones/contacto que a consultar disponibilidad directa.",Hay teléfono/email; no se detectó WhatsApp ni una ruta rápida de disponibilidad en la revisión HTML inicial.,email/telefono,Revisar mensaje personalizado en primeros-3-observaciones-y-mensajes.md antes de enviar.,Candidato muy alineado por naming rural.
P002,El Tejar & Spa,hotel/spa rural,Arona/Sur Tenerife,Vilaflor aprox.,https://www.hoteleltejar.com/,"https://www.google.com/maps/search/?api=1&query=28.154098,-16.6358574",alta,observaciones_preparadas,"La web tiene WhatsApp/teléfono/email y botón de reserva, pero el title aparece centrado en Spa, no en hotel rural Vilaflor/reserva directa.",La reserva lleva a motor externo; conviene revisar si desde móvil se percibe como proceso directo y confiable.,email/telefono,Revisar mensaje personalizado en primeros-3-observaciones-y-mensajes.md antes de enviar.,Alineado por ubicación interior/Vilaflor.
P003,Pensión Germán,pensión/restaurante,Arona/Sur Tenerife,Vilaflor,,"https://www.google.com/maps/search/?api=1&query=28.1561744,-16.6373422",media,pendiente_investigar,Comprobar si existe web propia o depende solo de plataformas.,Mirar si el contacto/reserva está claro desde Google.,telefono/email,Validar si encaja con mini-revisión o dejar para segunda tanda,Puede ser negocio independiente; evitar lenguaje de tamaño.
P004,Casa Rural La Campiña,casa rural,La Orotava/Norte Tenerife,Icod de los Vinos,no localizada en revisión rápida,"https://www.google.com/maps/search/?api=1&query=28.3495315,-16.7103348",alta,observaciones_preparadas_validar_contacto,"En resultados públicos aparecen sobre todo Airbnb, Booking, Trip.com, Planet of Hotels y Rent By Owner.",No se localizó web oficial clara; posible dependencia de OTA/directorios para contacto/reserva.,email/WhatsApp,Validar contacto correcto antes de enviar el mensaje personalizado.,Muy alineado con casa rural.
P005,Rural house La Furnia,casa rural,La Orotava/Norte Tenerife,Icod / norte Tenerife,,"https://www.google.com/maps/search/?api=1&query=28.3591893,-16.7168124",alta,pendiente_investigar,Comprobar si el nombre en inglés afecta a búsquedas locales o confianza.,Mirar si el usuario encuentra disponibilidad/contacto directo sin ir a OTA.,email/WhatsApp,Buscar web/canal oficial y preparar 2 observaciones reales,Alineado por rural house.
P006,Parque los Patos,agroturismo/guest house,La Orotava/Norte Tenerife,Norte Tenerife,,"https://www.google.com/maps/search/?api=1&query=28.4304514,-16.374052",alta,pendiente_investigar,Revisar si Google y web explican bien el alojamiento y la reserva directa.,Mirar si hay diferencia de confianza entre canales directos y OTA.,email/telefono,Investigar web oficial antes de contactar,OSM indica agritourism.
P007,Hotel Rural los Tilos,hotel rural/agroturismo,La Orotava/Norte Tenerife,Norte Tenerife,,"https://www.google.com/maps/search/?api=1&query=28.4287073,-16.3729233",alta,pendiente_investigar,Revisar claridad del canal directo y primera impresión móvil.,Mirar Google/fotos/reseñas y si la web refuerza confianza.,email/telefono,Investigar web oficial y ficha Google,Muy alineado por hotel rural.
P008,El Refugio Appartments & Villa,apartamentos/villa,La Orotava/Norte Tenerife,La Matanza de Acentejo,https://www.111teneriffa.com/,"https://www.google.com/maps/search/?api=1&query=28.4497225,-16.4654373",media-alta,pendiente_investigar,Revisar si la web multilingüe facilita reserva directa desde móvil.,Mirar si Google enlaza bien con la web y transmite confianza.,email,Hacer mini-auditoría web rápida con 2 observaciones,Tiene web detectada en OSM.
P009,Villa Casa del Sol,villa turística,La Orotava/Norte Tenerife,La Matanza de Acentejo,https://www.111teneriffa.com/,"https://www.google.com/maps/search/?api=1&query=28.4500857,-16.465212",media,pendiente_investigar,Revisar si se diferencia de otros alojamientos del mismo operador.,Mirar facilidad de contacto/reserva directa.,email,Validar si conviene agrupar con P008 o tratar como unidad separada,Mismo operador/web que El Refugio.
P010,Faisan Azul,guest house,La Orotava/Norte Tenerife,La Matanza de Acentejo,,"https://www.google.com/maps/search/?api=1&query=28.4507859,-16.4651853",media,pendiente_investigar,Comprobar si tiene web oficial o solo presencia en plataformas.,Mirar si la ficha Google está completa y activa.,email/telefono,Investigar canales antes de contactar,Sin web en OSM.
P011,Centro Eridano,guest house/centro,La Orotava/Norte Tenerife,Candelaria / sureste aprox.,,"https://www.google.com/maps/search/?api=1&query=28.3502139,-16.3894448",media,pendiente_investigar,Revisar si la propuesta se entiende como alojamiento o centro de bienestar.,Mirar si el contacto/reserva está claro en Google y web.,email,Investigar encaje antes de contactar,Puede requerir mensaje adaptado a wellness/retiros.
